block_id,pt_idx,x,z
0,0,1.501,19.659
0,1,-21.55,10.028
0,2,-39.869,31.393
0,3,2.588,42.041
1,0,-23.972,52.02
1,1,2.401,65.086
1,2,2.588,42.041
1,3,-18.766,36.284
2,0,-18.766,36.284
2,1,-39.869,31.393
2,2,-49.917,42.223
2,3,-23.972,52.02
3,0,-58.868,13.376
3,1,-49.917,42.223
3,2,-39.869,31.393
3,3,-44.989,9.679
4,0,-44.989,9.679
4,1,-46.667,-16.787
4,2,-63.744,-11.015
4,3,-58.868,13.376
5,0,-32.801,-27.824
5,1,-46.667,-16.787
5,2,-26.675,-9.107
5,3,-12.961,-18.874
6,0,-12.961,-18.874
6,1,-3.066,-29.617
6,2,-16.662,-42.841
6,3,-32.801,-27.824
7,0,6.819,-43.066
7,1,-16.662,-42.841
7,2,-3.066,-29.617
7,3,3.763,-30.103
8,0,3.763,-30.103
8,1,12.059,-31.499
8,2,24.725,-46.642
8,3,6.819,-43.066
9,0,6.257,-54.96
9,1,-19.466,-53.265
9,2,-16.662,-42.841
9,3,4.223,-42.749
10,0,4.223,-42.749
10,1,24.725,-46.642
10,2,29.214,-58.684
10,3,6.257,-54.96
11,0,35.249,-33.355
11,1,24.725,-46.642
11,2,12.059,-31.499
11,3,24.954,-15.487
12,0,24.954,-15.487
12,1,36.948,-3.953
12,2,54.922,-14.166
12,3,35.249,-33.355
13,0,41.482,-40.447
13,1,29.214,-58.684
13,2,24.725,-46.642
13,3,41.461,-27.523
14,0,41.461,-27.523
14,1,54.922,-14.166
14,2,68.467,-10.368
14,3,41.482,-40.447
15,0,53.228,11.084
15,1,54.922,-14.166
15,2,36.948,-3.953
15,3,36.178,2.559
16,0,36.178,2.559
16,1,35.384,9.286
16,2,49.044,30.965
16,3,53.228,11.084
17,0,61.913,21.129
17,1,68.467,-10.368
17,2,54.922,-14.166
17,3,53.715,5.988
18,0,53.715,5.988
18,1,49.044,30.965
18,2,54.81,39.723
18,3,61.913,21.129
19,0,24.445,50.604
19,1,54.81,39.723
19,2,49.044,30.965
19,3,29.956,34.69
20,0,29.956,34.69
20,1,2.588,42.041
20,2,2.401,65.086
20,3,24.445,50.604
