id,pos_x,pos_y,pos_z,rot_y_deg,type,width_m,depth_m,height_m,scale,district,seed,warp
0,-21.087,0.0,5.863,218.45,Administration,12.65,6.03,5.0,1.0,Administration,1429458196,0.0
1,-15.332,0.0,4.216,244.21,Administration,10.81,9.33,5.0,1.0,Administration,1429458196,0.0
2,-11.555,0.0,9.853,308.45,Administration,11.64,6.05,5.0,1.0,Administration,1429458196,0.0
3,-7.707,0.0,16.177,218.45,Administration,7.85,6.52,5.0,1.0,Administration,1429458196,0.0
4,-102.543,0.0,2.181,274.21,Castle,16.88,7.38,5.0,1.0,Castle,1429458196,0.0
5,-101.758,0.0,13.915,4.21,Castle,10.67,6.41,5.0,1.0,Castle,1429458196,0.0
6,-101.664,0.0,20.015,202.77,Castle,12.97,8.49,5.0,1.0,Castle,1429458196,0.0
7,-93.931,0.0,7.243,184.21,Castle,10.54,8.04,5.0,1.0,Castle,1429458196,0.0
8,-93.312,0.0,-1.172,4.21,Castle,10.54,8.83,5.0,1.0,Castle,1429458196,0.0
9,-92.958,0.0,16.627,274.21,Castle,10.53,7.28,5.0,1.0,Castle,1429458196,0.0
10,-85.258,0.0,20.897,274.21,Castle,17.92,8.71,5.0,1.0,Castle,1429458196,0.0
11,-76.611,0.0,20.76,159.63,Castle,12.64,7.16,5.0,1.0,Castle,1429458196,0.0
12,-74.511,0.0,4.245,274.21,Castle,16.88,7.61,5.0,1.0,Castle,1429458196,0.0
13,-63.491,0.0,14.108,261.88,Craftsmen,14.23,5.2,5.0,1.0,Craftsmen,1429458196,0.0
14,-63.444,0.0,7.828,346.0,Craftsmen,5.85,2.42,5.0,1.0,Craftsmen,1429458196,0.0
15,-62.26,0.0,11.225,76.0,Craftsmen,7.56,5.19,5.0,1.0,Craftsmen,1429458196,0.0
16,-59.043,0.0,28.21,63.14,Craftsmen,16.64,6.94,5.0,1.0,Craftsmen,1429458196,0.0
17,-57.455,0.0,65.434,190.11,Craftsmen,6.05,4.9,5.0,1.0,Craftsmen,1429458196,0.0
18,-56.932,0.0,7.944,150.86,Craftsmen,8.97,7.35,5.0,1.0,Craftsmen,1429458196,0.0
19,-55.93,0.0,62.002,104.22,Craftsmen,4.89,4.62,5.0,1.0,Craftsmen,1429458196,0.0
20,-55.913,0.0,14.344,330.86,Craftsmen,11.82,3.62,5.0,1.0,Craftsmen,1429458196,0.0
21,-54.407,0.0,57.805,104.22,Craftsmen,3.99,3.73,5.0,1.0,Craftsmen,1429458196,0.0
22,-53.073,0.0,20.051,330.86,Craftsmen,11.3,7.91,5.0,1.0,Craftsmen,1429458196,0.0
23,-52.22,0.0,54.773,187.05,Craftsmen,5.2,3.06,5.0,1.0,Craftsmen,1429458196,0.0
24,-52.011,0.0,63.157,104.22,Craftsmen,5.67,2.35,5.0,1.0,Craftsmen,1429458196,0.0
25,-51.804,0.0,30.179,243.14,Craftsmen,6.54,4.2,5.0,1.0,Craftsmen,1429458196,0.0
26,-51.288,0.0,24.796,338.38,Craftsmen,10.35,3.5,5.0,1.0,Craftsmen,1429458196,0.0
27,-51.222,0.0,53.417,207.39,Craftsmen,4.34,1.48,5.0,1.0,Craftsmen,1429458196,0.0
28,-51.151,0.0,51.354,188.1,Craftsmen,4.05,3.8,5.0,1.0,Craftsmen,1429458196,0.0
29,-50.389,0.0,59.038,192.94,Craftsmen,3.51,1.94,5.0,1.0,Craftsmen,1429458196,0.0
30,-50.373,0.0,68.015,190.11,Craftsmen,8.1,2.3,5.0,1.0,Craftsmen,1429458196,0.0
31,-50.07,0.0,48.471,98.1,Craftsmen,4.12,2.72,5.0,1.0,Craftsmen,1429458196,0.0
32,-49.96,0.0,57.268,192.94,Craftsmen,3.47,1.7,5.0,1.0,Craftsmen,1429458196,0.0
33,-49.802,0.0,38.046,255.65,Craftsmen,7.82,4.1,5.0,1.0,Craftsmen,1429458196,0.0
34,-48.0,0.0,64.173,101.71,Craftsmen,5.9,4.97,5.0,1.0,Craftsmen,1429458196,0.0
35,-47.41,0.0,28.421,248.38,Craftsmen,6.1,5.81,5.0,1.0,Craftsmen,1429458196,0.0
36,-47.225,0.0,54.203,278.1,Craftsmen,5.48,3.33,5.0,1.0,Craftsmen,1429458196,0.0
37,-46.907,0.0,36.443,61.85,Craftsmen,7.22,4.08,5.0,1.0,Craftsmen,1429458196,0.0
38,-46.799,0.0,6.37,163.66,Craftsmen,11.17,8.1,5.0,1.0,Craftsmen,1429458196,0.0
39,-46.426,0.0,58.86,192.94,Craftsmen,4.14,4.06,5.0,1.0,Craftsmen,1429458196,0.0
40,-45.913,0.0,42.752,183.07,Craftsmen,9.48,6.0,5.0,1.0,Craftsmen,1429458196,0.0
41,-44.454,0.0,54.804,282.47,Craftsmen,5.18,2.73,5.0,1.0,Craftsmen,1429458196,0.0
42,-44.001,0.0,20.087,68.38,Craftsmen,7.12,5.47,5.0,1.0,Craftsmen,1429458196,0.0
43,-43.753,0.0,63.902,189.85,Craftsmen,3.33,2.81,5.0,1.0,Craftsmen,1429458196,0.0
44,-43.718,0.0,13.131,343.66,Craftsmen,11.78,6.61,5.0,1.0,Craftsmen,1429458196,0.0
45,-43.61,0.0,50.882,12.47,Craftsmen,2.78,1.64,5.0,1.0,Craftsmen,1429458196,0.0
46,-43.477,0.0,68.192,190.11,Craftsmen,5.64,4.37,5.0,1.0,Craftsmen,1429458196,0.0
47,-43.295,0.0,48.34,102.47,Craftsmen,3.46,3.26,5.0,1.0,Craftsmen,1429458196,0.0
48,-42.709,0.0,34.193,63.63,Craftsmen,7.39,5.67,5.0,1.0,Craftsmen,1429458196,0.0
49,-42.16,0.0,41.633,93.07,Craftsmen,8.64,4.67,5.0,1.0,Craftsmen,1429458196,0.0
50,-42.109,0.0,60.117,98.88,Craftsmen,5.24,5.18,5.0,1.0,Craftsmen,1429458196,0.0
51,-41.156,0.0,64.354,98.88,Craftsmen,2.84,1.99,5.0,1.0,Craftsmen,1429458196,0.0
52,-41.041,0.0,56.275,187.05,Craftsmen,3.65,2.82,5.0,1.0,Craftsmen,1429458196,0.0
53,-40.636,0.0,54.084,187.05,Craftsmen,3.38,1.63,5.0,1.0,Craftsmen,1429458196,0.0
54,-40.263,0.0,50.332,282.47,Craftsmen,6.65,2.32,5.0,1.0,Craftsmen,1429458196,0.0
55,-39.198,0.0,69.206,104.74,Craftsmen,5.1,2.36,5.0,1.0,Craftsmen,1429458196,0.0
56,-39.113,0.0,24.801,338.38,Craftsmen,11.09,5.25,5.0,1.0,Craftsmen,1429458196,0.0
57,-38.849,0.0,18.044,69.45,Craftsmen,7.22,5.75,5.0,1.0,Craftsmen,1429458196,0.0
58,-38.825,0.0,51.747,92.73,Craftsmen,3.47,1.71,5.0,1.0,Craftsmen,1429458196,0.0
59,-38.443,0.0,42.877,63.63,Craftsmen,10.76,5.73,5.0,1.0,Craftsmen,1429458196,0.0
60,-38.106,0.0,65.06,8.88,Craftsmen,3.05,2.51,5.0,1.0,Craftsmen,1429458196,0.0
61,-37.81,0.0,63.232,8.88,Craftsmen,3.07,1.2,5.0,1.0,Craftsmen,1429458196,0.0
62,-37.729,0.0,31.149,61.85,Craftsmen,6.55,4.81,5.0,1.0,Craftsmen,1429458196,0.0
63,-37.565,0.0,61.662,9.85,Craftsmen,3.11,2.03,5.0,1.0,Craftsmen,1429458196,0.0
64,-37.329,0.0,55.927,92.73,Craftsmen,4.73,3.96,5.0,1.0,Craftsmen,1429458196,0.0
65,-37.268,0.0,48.659,3.07,Craftsmen,4.54,2.87,5.0,1.0,Craftsmen,1429458196,0.0
66,-37.18,0.0,59.468,7.05,Craftsmen,3.23,2.57,5.0,1.0,Craftsmen,1429458196,0.0
67,-37.139,0.0,72.339,223.33,Craftsmen,3.02,1.62,5.0,1.0,Craftsmen,1429458196,0.0
68,-36.564,0.0,51.855,92.73,Craftsmen,3.47,2.82,5.0,1.0,Craftsmen,1429458196,0.0
69,-36.126,0.0,6.636,5.61,Craftsmen,11.85,4.9,5.0,1.0,Craftsmen,1429458196,0.0
70,-35.967,0.0,69.782,284.74,Craftsmen,5.13,4.18,5.0,1.0,Craftsmen,1429458196,0.0
71,-35.386,0.0,65.055,99.85,Craftsmen,3.4,2.35,5.0,1.0,Craftsmen,1429458196,0.0
72,-35.363,0.0,73.808,92.61,Craftsmen,3.85,2.45,5.0,1.0,Craftsmen,1429458196,0.0
73,-35.319,0.0,9.63,101.76,Craftsmen,9.75,8.46,5.0,1.0,Craftsmen,1429458196,0.0
74,-34.523,0.0,29.065,89.86,Craftsmen,7.67,5.25,5.0,1.0,Craftsmen,1429458196,0.0
75,-33.725,0.0,-25.759,319.01,Craftsmen,2.88,1.0,5.0,1.0,Craftsmen,1429458196,0.0
76,-33.604,0.0,61.035,182.61,Craftsmen,5.17,5.12,5.0,1.0,Craftsmen,1429458196,0.0
77,-33.56,0.0,72.995,133.33,Craftsmen,4.17,2.16,5.0,1.0,Craftsmen,1429458196,0.0
78,-33.485,0.0,17.961,249.45,Craftsmen,9.64,4.36,5.0,1.0,Craftsmen,1429458196,0.0
79,-33.17,0.0,75.384,92.61,Craftsmen,6.06,2.99,5.0,1.0,Craftsmen,1429458196,0.0
80,-33.094,0.0,56.459,92.61,Craftsmen,4.77,4.56,5.0,1.0,Craftsmen,1429458196,0.0
81,-32.908,0.0,52.506,182.61,Craftsmen,4.55,1.94,5.0,1.0,Craftsmen,1429458196,0.0
82,-32.899,0.0,70.973,182.61,Craftsmen,2.86,2.04,5.0,1.0,Craftsmen,1429458196,0.0
83,-32.84,0.0,65.524,92.61,Craftsmen,3.78,3.23,5.0,1.0,Craftsmen,1429458196,0.0
84,-32.831,0.0,68.987,9.85,Craftsmen,3.12,2.27,5.0,1.0,Craftsmen,1429458196,0.0
85,-32.764,0.0,49.498,182.73,Craftsmen,4.55,4.09,5.0,1.0,Craftsmen,1429458196,0.0
86,-32.716,0.0,41.657,243.63,Craftsmen,9.46,4.41,5.0,1.0,Craftsmen,1429458196,0.0
87,-32.552,0.0,-24.67,313.37,Craftsmen,2.79,2.47,5.0,1.0,Craftsmen,1429458196,0.0
88,-31.394,0.0,-23.318,319.01,Craftsmen,2.56,1.33,5.0,1.0,Craftsmen,1429458196,0.0
89,-30.382,0.0,78.161,106.75,Craftsmen,4.06,2.7,5.0,1.0,Craftsmen,1429458196,0.0
90,-30.05,0.0,-26.46,49.01,Craftsmen,4.76,3.59,5.0,1.0,Craftsmen,1429458196,0.0
91,-29.857,0.0,34.79,269.86,Craftsmen,7.46,2.85,5.0,1.0,Craftsmen,1429458196,0.0
92,-29.779,0.0,66.88,94.14,Craftsmen,3.29,1.9,5.0,1.0,Craftsmen,1429458196,0.0
93,-29.731,0.0,74.773,16.75,Craftsmen,3.41,2.8,5.0,1.0,Craftsmen,1429458196,0.0
94,-29.459,0.0,41.773,115.61,Craftsmen,10.15,6.08,5.0,1.0,Craftsmen,1429458196,0.0
95,-29.332,0.0,-21.345,223.37,Craftsmen,3.71,2.38,5.0,1.0,Craftsmen,1429458196,0.0
96,-29.33,0.0,12.396,281.76,Craftsmen,7.16,2.39,5.0,1.0,Craftsmen,1429458196,0.0
97,-29.111,0.0,23.28,203.93,Craftsmen,7.81,5.2,5.0,1.0,Craftsmen,1429458196,0.0
98,-28.974,0.0,60.439,89.18,Craftsmen,4.47,3.07,5.0,1.0,Craftsmen,1429458196,0.0
99,-28.625,0.0,18.772,188.96,Craftsmen,6.64,5.34,5.0,1.0,Craftsmen,1429458196,0.0
100,-28.401,0.0,53.594,188.68,Craftsmen,3.54,2.3,5.0,1.0,Craftsmen,1429458196,0.0
101,-28.317,0.0,51.722,2.61,Craftsmen,3.35,1.79,5.0,1.0,Craftsmen,1429458196,0.0
102,-28.31,0.0,-29.02,58.42,Craftsmen,3.7,2.89,5.0,1.0,Craftsmen,1429458196,0.0
103,-28.206,0.0,49.276,3.07,Craftsmen,3.37,3.13,5.0,1.0,Craftsmen,1429458196,0.0
104,-27.955,0.0,71.408,14.18,Craftsmen,6.76,3.78,5.0,1.0,Craftsmen,1429458196,0.0
105,-27.952,0.0,63.686,4.14,Craftsmen,5.23,2.14,5.0,1.0,Craftsmen,1429458196,0.0
