node,base_x,base_z,off_x,off_z
0,-180.232,-168.993,-5.875,5.99
1,-147.072,-168.993,-2.137,-2.959
2,-110.493,-168.993,-0.623,-0.916
3,-72.044,-168.993,-3.85,-1.276
4,-35.481,-168.993,5.954,-6.267
5,2.085,-168.993,5.865,4.003
6,34.378,-168.993,-4.142,7.626
7,71.494,-168.993,-2.549,-1.778
8,104.273,-168.993,-0.093,-1.5
9,151.943,-168.993,-4.322,-1.657
10,180.879,-168.993,3.763,-6.849
11,-180.232,-125.292,1.829,7.213
12,-145.717,-130.892,-4.355,5.181
13,-114.253,-139.505,-9.029,-7.906
14,-69.523,-143.016,1.558,-2.363
15,-36.471,-137.535,9.941,-1.314
16,-8.906,-143.088,5.08,-2.686
17,36.771,-124.308,3.086,5.79
18,77.739,-122.683,-6.004,6.958
19,115.739,-139.507,-9.832,-7.769
20,140.43,-128.736,-1.249,-7.889
21,180.879,-125.672,7.354,-0.164
22,-180.232,-87.835,-0.511,-2.503
23,-150.826,-98.48,-7.058,3.231
24,-117.331,-104.983,-6.268,0.402
25,-69.19,-96.624,2.916,-7.803
26,-31.929,-86.752,-2.49,-0.051
27,9.485,-100.304,5.03,2.427
28,37.535,-100.305,3.569,-0.591
29,78.66,-100.246,-7.853,5.11
30,112.56,-101.651,-3.05,-0.58
31,141.145,-101.885,3.57,-8.409
32,180.879,-107.434,1.539,-0.376
33,-180.232,-66.21,-3.501,-2.069
34,-145.01,-55.954,6.754,-5.745
35,-109.66,-60.205,5.687,4.122
36,-75.367,-56.112,-4.807,7.519
37,-44.971,-70.19,-4.568,-3.598
38,0.342,-64.005,1.483,1.457
39,46.289,-71.072,-3.783,-3.467
40,62.61,-51.479,3.546,-4.983
41,114.735,-52.914,4.678,3.192
42,140.61,-66.818,-1.491,4.842
43,180.879,-68.493,-3.646,-3.287
44,-180.232,-16.415,5.707,-5.086
45,-150.627,-20.497,9.451,0.435
46,-108.254,-24.361,0.584,-0.221
47,-79.193,-18.722,1.122,6.242
48,-42.702,-28.071,-1.081,6.888
49,-7.676,-17.183,-10.52,-5.002
50,30.166,-18.656,-0.641,-7.671
51,75.023,-18.306,8.084,-0.135
52,101.164,-20.296,3.139,-1.907
53,152.708,-14.198,3.335,7.459
54,180.879,-25.062,-0.925,7.907
55,-180.232,19.949,1.687,-7.312
56,-138.334,17.206,-0.977,2.741
57,-105.05,14.426,5.033,4.076
58,-77.121,7.47,4.327,0.301
59,-30.983,17.636,-7.323,3.449
60,6.121,8.084,-2.192,-3.246
61,37.797,21.61,1.606,-6.639
62,77.057,20.205,-2.066,-0.336
63,108.29,7.662,2.938,3.657
64,155.455,3.081,3.096,2.585
65,180.879,21.014,-6.361,0.877
66,-180.232,53.951,-5.601,5.352
67,-143.729,54.24,-0.599,-3.597
68,-101.132,55.847,-2.403,0.23
69,-81.808,41.435,-1.521,1.291
70,-42.532,58.203,4.94,-5.445
71,2.915,52.725,4.974,3.834
72,36.816,54.821,-4.611,6.825
73,82.92,54.637,0.214,-3.382
74,105.759,54.681,0.189,-1.426
75,153.35,50.417,-4.286,-1.25
76,180.879,55.23,3.81,-6.175
77,-180.232,76.967,-2.478,10.354
78,-135.916,77.727,-3.416,-2.254
79,-118.751,82.188,-8.231,-6.96
80,-73.926,74.793,-1.507,-1.77
81,-28.129,90.769,7.378,-0.425
82,1.682,76.261,2.083,-0.311
83,27.263,82.421,-1.109,7.068
84,67.785,92.716,-1.66,8.97
85,101.437,87.138,-9.472,-4.933
86,151.147,92.62,3.0,-5.377
87,180.879,85.224,9.315,-1.664
88,-180.232,110.324,2.564,3.431
89,-149.259,110.675,-7.254,6.796
90,-114.251,122.991,-3.964,0.591
91,-79.734,117.619,4.301,-9.844
92,-45.73,112.67,4.001,-1.253
93,7.268,122.915,5.427,3.521
94,37.545,117.489,4.048,1.062
95,62.964,125.506,-5.579,2.231
96,118.823,121.562,-1.431,-2.956
97,149.677,109.195,4.478,-9.069
98,180.879,112.159,2.942,-0.566
99,-180.232,151.828,-3.591,-1.383
100,-133.918,153.064,3.169,-1.605
101,-102.0,152.663,3.837,4.894
102,-63.477,153.16,-4.807,-1.545
103,-32.315,147.653,-1.261,-2.699
104,7.57,165.305,-1.239,0.947
105,27.678,164.551,-4.206,1.835
106,64.533,166.327,1.973,-5.08
107,115.976,162.055,4.365,4.119
108,149.056,163.041,-4.395,5.075
109,180.879,149.258,-3.176,-4.344
110,-180.232,192.118,2.578,-1.969
111,-148.518,192.118,10.215,-1.462
112,-109.068,192.118,0.978,-0.332
113,-62.055,192.118,-0.451,10.331
114,-43.962,192.118,-0.584,6.613
115,-2.766,192.118,-8.611,-7.22
116,42.652,192.118,1.848,-2.081
117,76.625,192.118,9.712,-2.626
118,107.533,192.118,3.009,-2.412
119,141.241,192.118,-0.87,7.846
120,180.879,192.118,-0.258,6.47
