pt_idx,x,z,width_m
0,-94.445,-89.406,9.35
1,-87.891,-82.96,9.35
2,-81.661,-75.963,9.35
3,-75.571,-68.497,9.35
4,-69.519,-60.685,9.35
5,-63.49,-52.624,9.35
6,-57.535,-44.235,9.35
7,-51.974,-35.779,9.35
8,-46.962,-27.412,9.35
9,-42.121,-19.238,9.35
10,-37.208,-11.428,9.35
11,-32.179,-4.322,9.35
12,-26.729,2.144,9.35
13,-20.369,8.119,9.35
14,-12.887,13.712,9.35
15,-4.558,18.866,9.35
16,4.352,23.67,9.35
17,13.767,28.343,9.35
18,23.445,32.839,9.35
19,33.21,37.198,9.35
20,42.697,41.547,9.35
21,51.713,45.776,9.35
22,60.266,49.535,9.35
23,68.768,52.767,9.35
24,77.511,55.542,9.35
25,86.412,58.124,9.35
26,95.512,60.593,9.35
27,104.876,62.866,9.35
28,114.235,65.111,9.35
