road_id,pt_idx,x,z
0,0,-4.247,2.548
0,1,0.201,12.002
0,2,2.062,23.535
0,3,0.451,37.875
0,4,-0.358,57.162
0,5,1.379,76.746
0,6,3.643,95.869
0,7,2.269,116.389
1,0,-4.247,2.548
1,1,-20.64,4.691
1,2,-34.922,11.7
1,3,-46.165,27.055
1,4,-55.288,45.707
1,5,-65.527,60.805
1,6,-76.857,70.921
1,7,-88.501,78.306
2,0,-4.247,2.548
2,1,-21.442,-0.297
2,2,-36.139,-3.066
2,3,-48.629,-8.033
2,4,-61.709,-15.712
2,5,-77.336,-22.09
2,6,-95.8,-22.829
2,7,-114.335,-20.335
3,0,-4.247,2.548
3,1,-6.69,-8.816
3,2,-7.551,-22.514
3,3,-9.956,-36.071
3,4,-17.486,-50.491
3,5,-27.75,-66.618
3,6,-35.536,-85.004
3,7,-40.867,-104.162
4,0,-4.247,2.548
4,1,2.55,-7.901
4,2,7.431,-23.448
4,3,13.969,-40.666
4,4,23.222,-56.911
4,5,32.53,-70.643
4,6,41.082,-82.946
4,7,49.203,-96.02
5,0,-4.247,2.548
5,1,14.571,2.329
5,2,35.652,1.584
5,3,54.825,-1.169
5,4,70.781,-9.161
5,5,84.218,-19.829
5,6,97.853,-25.72
5,7,112.036,-24.6
6,0,-4.247,2.548
6,1,11.809,11.224
6,2,33.394,20.087
6,3,51.019,28.501
6,4,62.305,39.577
6,5,67.07,54.714
6,6,73.688,69.373
6,7,86.512,80.57
7,0,17.436,4.381
7,1,17.84,6.118
7,2,17.845,7.739
7,3,17.407,9.213
7,4,16.494,10.511
7,5,15.085,11.553
7,6,13.216,12.318
7,7,10.962,12.827
7,8,8.389,13.092
7,9,5.533,13.141
7,10,2.491,13.025
7,11,-0.665,12.761
7,12,-3.854,12.362
7,13,-6.972,11.841
7,14,-9.962,11.184
7,15,-12.76,10.382
7,16,-15.324,9.436
7,17,-17.581,8.372
7,18,-19.472,7.216
7,19,-20.993,5.973
7,20,-22.131,4.687
7,21,-22.851,3.383
7,22,-23.165,2.066
7,23,-23.101,0.737
7,24,-22.701,-0.583
7,25,-22.009,-1.873
7,26,-21.051,-3.109
7,27,-19.854,-4.28
7,28,-18.466,-5.396
7,29,-16.918,-6.44
7,30,-15.235,-7.379
7,31,-13.42,-8.187
7,32,-11.502,-8.877
7,33,-9.507,-9.426
7,34,-7.441,-9.8
7,35,-5.325,-10.007
7,36,-3.181,-10.065
7,37,-1.021,-9.96
7,38,1.119,-9.645
7,39,3.212,-9.083
7,40,5.259,-8.281
7,41,7.252,-7.238
7,42,9.167,-5.956
7,43,10.993,-4.477
7,44,12.716,-2.844
7,45,14.281,-1.101
7,46,15.626,0.718
7,47,16.686,2.564
7,48,17.436,4.381
8,0,56.626,1.407
8,1,57.58,8.6
8,2,57.411,15.579
8,3,55.932,21.853
8,4,53.262,27.283
8,5,49.559,31.683
8,6,44.777,34.771
8,7,39.107,36.683
8,8,32.82,37.817
8,9,25.989,38.542
8,10,18.51,38.918
8,11,10.471,39.064
8,12,2.115,39.221
8,13,-6.574,39.481
8,14,-15.449,39.11
8,15,-24.231,38.075
8,16,-32.337,36.305
8,17,-39.336,33.672
8,18,-45.095,30.228
8,19,-49.658,25.983
8,20,-52.736,21.075
8,21,-54.207,15.514
8,22,-54.176,9.384
8,23,-53.02,3.008
8,24,-51.234,-3.49
8,25,-49.252,-9.829
8,26,-46.872,-15.796
8,27,-43.694,-20.986
8,28,-39.817,-25.223
8,29,-35.341,-28.413
