idx,x,z
0,107.74,-2.92
1,105.45,13.163
2,102.698,30.264
3,98.434,47.58
4,91.823,62.895
5,83.032,73.04
6,72.922,79.236
7,61.704,84.291
8,49.373,90.437
9,36.457,99.886
10,22.976,112.191
11,9.679,121.977
12,-1.961,124.466
13,-12.027,120.314
14,-22.574,112.157
15,-35.024,102.549
16,-49.514,92.558
17,-66.152,84.26
18,-79.17,76.781
19,-88.298,68.74
20,-94.526,59.672
21,-98.52,48.653
22,-102.542,35.741
23,-107.222,20.635
24,-111.002,3.158
25,-112.595,-15.516
26,-111.459,-33.836
27,-107.572,-51.707
28,-100.665,-66.702
29,-91.471,-76.465
30,-80.225,-83.096
31,-67.381,-89.001
32,-53.736,-94.913
33,-40.018,-100.056
34,-26.236,-103.52
35,-12.374,-104.483
36,1.207,-104.561
37,14.696,-103.9
38,27.667,-102.254
39,39.792,-99.314
40,52.076,-95.48
41,63.388,-90.287
42,75.097,-83.11
43,87.765,-72.812
44,98.08,-60.327
45,105.917,-46.975
46,109.717,-32.83
47,109.533,-18.268
